names,urls
Christopher O. Barnes,/people/christopher-o-barnes
Vanessa Barone,/people/vanessa-barone
Dominique Bergmann,/people/dominique-bergmann
Barbara Block,/people/barbara-block
Xiaoke Chen,/people/xiaoke-chen
Jonas Cremer,/people/jonas-cremer
Martha S. Cyert,/people/martha-s-cyert
Gretchen C. Daily,/people/gretchen-c-daily
Barnabas Daru,/people/barnabas-daru
José R. Dinneny,/people/jose-r-dinneny
Rodolfo Dirzo,/people/rodolfo-dirzo
Scott Dixon,/people/scott-dixon
Jessica Feldman,/people/jessica-feldman
Marcus Feldman,/people/marcus-feldman
Chris Field,/people/chris-field
Hunter Fraser,/people/hunter-fraser
Judith Frydman,/people/judith-frydman
Tadashi Fukami,/people/tadashi-fukami
Aidee Guzman,/people/aidee-guzman
Elizabeth Hadly,/people/elizabeth-hadly
H. Craig Heller,/people/h-craig-heller
Mary Hynes,/people/mary-hynes
Christine Jacobs-Wagner,/people/christine-jacobs-wagner
Ron Kopito,/people/ron-kopito
Sharon R. Long,/people/sharon-r-long
Christopher Lowe,/people/christopher-lowe
Liqun Luo,/people/liqun-luo
Erin Mordecai,/people/erin-mordecai
Ashby Morrison,/people/ashby-morrison
Mary Beth Mudgett,/people/mary-beth-mudgett
Lauren O'Connell,/people/lauren-oconnell
Stephen Palumbi,/people/stephen-palumbi
Kabir Peay,/people/kabir-peay
Dmitri Petrov,/people/dmitri-petrov
Jonathan Pritchard,/people/jonathan-pritchard
Kristy Red-Horse,/people/kristy-red-horse
Noah Rosenberg,/people/noah-rosenberg
Robert Sapolsky,/people/robert-sapolsky
Mark J. Schnitzer,/people/mark-j-schnitzer
Molly Schumer,/people/molly-schumer
Naima G. Sharaf,/people/naima-g-sharaf
Carla Shatz,/people/carla-shatz
Kang Shen,/people/kang-shen
Michael Simon,/people/michael-simon
Jan Skotheim,/people/jan-skotheim
Marc Tessier-Lavigne,/people/marc-tessier-lavigne
Stuart Thompson,/people/stuart-thompson
Alice Ting,/people/alice-ting
Shripad Tuljapurkar,/people/shripad-tuljapurkar
Ayelet Voskoboynik,/people/ayelet-voskoboynik
Shannon Yan,/people/shannon-yan
